MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:22:3f:ad:63:74,kelly.foran,[WPA-PSK-TKIP],2012-08-08 19:29:32,6,-73,51.5391591492856,-0.152363595090053,72,150,WIFI
58:6d:8f:37:e2:b5,26audenplace,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:32,11,-76,51.5391591492856,-0.152363595090053,72,150,WIFI
00:1f:33:0a:14:09,SKY73570,[WPA-PSK-TKIP],2012-08-08 19:29:32,11,-76,51.5391591492856,-0.152363595090053,72,150,WIFI
14:da:e9:f8:f6:c8,MacC's Network,[WPA2-PSK-CCMP],2012-08-08 19:29:32,11,-80,51.5391591492856,-0.152363595090053,72,150,WIFI
00:18:4d:10:f8:a8,Witherby,[WPA-PSK-TKIP],2012-08-08 19:29:32,11,-87,51.5391591492856,-0.152363595090053,72,150,WIFI
a0:21:b7:cc:ef:6a,Red Bull,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:32,1,-90,51.5391591492856,-0.152363595090053,72,150,WIFI
4c:17:eb:aa:ed:98,SKYAED97,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:32,1,-90,51.5391591492856,-0.152363595090053,72,150,WIFI
00:fe:f4:59:e5:70,BTHub3-2QZT,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-08 19:29:32,6,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
00:24:17:c8:0a:db,BTHomeHub2-T4W2,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-08 19:29:32,1,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
00:18:4d:7d:54:28,NETGEAR123,[WPA-PSK-TKIP],2012-08-08 19:29:32,9,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
a0:21:b7:f5:c9:e0,Kunal N/W,[WPS][WEP],2012-08-08 19:29:32,11,-74,51.5391591492856,-0.152363595090053,72,150,WIFI
58:6d:8f:37:e2:b7,26audenplace-guest,,2012-08-08 19:29:32,11,-76,51.5391591492856,-0.152363595090053,72,150,WIFI
12:fe:f4:59:e5:70,BTWiFi-with-FON,,2012-08-08 19:29:32,6,-89,51.5391591492856,-0.152363595090053,72,150,WIFI
02:24:17:c8:0a:dc,BTOpenzone-H,,2012-08-08 19:29:32,1,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
02:fe:f4:59:e5:70,BTWiFi,,2012-08-08 19:29:32,6,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
02:24:17:c8:0a:dd,BTFON,,2012-08-08 19:29:32,1,-92,51.5391591492856,-0.152363595090053,72,150,WIFI
23415_162_11716,vodafone UK,EDGE;gb,2012-08-08 19:29:32,0,-95,51.5391591492856,-0.152363595090053,72,150,GSM
1c:bd:b9:c2:61:32,dlink,[WPA2-PSK-TKIP][WPS],2012-08-08 19:29:34,6,-92,51.5391591492856,-0.152363595090053,72,150,WIFI
84:c9:b2:7b:d3:44,TALKTALK-7BD344,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:34,1,-92,51.5391591492856,-0.152363595090053,72,150,WIFI
a0:21:b7:59:d3:d9,virginmedia9802828,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:47,8,-94,51.539341078508,-0.153204772149435,72,45,WIFI
00:16:b6:ed:f0:32,popcorn,[WPA-PSK-CCMP],2012-08-08 19:29:47,11,-96,51.539341078508,-0.153204772149435,72,45,WIFI
34:ef:44:2c:e2:81,BTBusinessHub-822,[WEP],2012-08-08 19:29:47,8,-94,51.539341078508,-0.153204772149435,72,45,WIFI
00:22:3f:ad:63:74,kelly.foran,[WPA-PSK-TKIP],2012-08-08 22:21:00,6,-50,51.5390154498084,-0.153453835198356,72,200,WIFI
58:6d:8f:37:e2:b5,26audenplace,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 22:21:00,11,-73,51.5390154498084,-0.153453835198356,72,200,WIFI
14:da:e9:f8:f6:c8,MacC's Network,[WPA2-PSK-CCMP],2012-08-08 22:21:00,11,-79,51.5390154498084,-0.153453835198356,72,200,WIFI
00:1f:33:0a:14:09,SKY73570,[WPA-PSK-TKIP],2012-08-08 22:21:00,11,-84,51.5390154498084,-0.153453835198356,72,200,WIFI
00:18:4d:7d:54:28,NETGEAR123,[WPA-PSK-TKIP],2012-08-08 22:21:00,9,-84,51.5390154498084,-0.153453835198356,72,200,WIFI
00:18:4d:10:f8:a8,Witherby,[WPA-PSK-TKIP],2012-08-08 22:21:00,11,-85,51.5390154498084,-0.153453835198356,72,200,WIFI
1c:bd:b9:c2:61:32,dlink,[WPA2-PSK-TKIP][WPS],2012-08-08 22:21:00,6,-86,51.5390154498084,-0.153453835198356,72,200,WIFI
00:26:b6:1e:64:e5,TalkTalk6a4eb,[WPA-PSK-TKIP],2012-08-08 22:21:00,1,-89,51.5390154498084,-0.153453835198356,72,200,WIFI
00:fe:f4:59:e5:70,BTHub3-2QZT,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-08 22:21:00,6,-91,51.5390154498084,-0.153453835198356,72,200,WIFI
00:24:17:c8:0a:db,BTHomeHub2-T4W2,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-08 22:21:00,1,-93,51.5390154498084,-0.153453835198356,72,200,WIFI
